Item,Pallet No.,SeriBl No,Pmax(W),Voc(V),Isc(B),Ipm(B),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
241,7,H1NE07892,332.3,70.6,6.045,5.609,59.25,77.87,110,9,0,723,2,B8
242,7,H1NE07900,335,70.7,6.084,5.657,59.23,77.88,1835,9,0,726,2,B8
243,7,H1NE07894,332.8,70.6,6.044,5.618,59.24,77.96,398,9,0,729,2,B8
244,7,H1NE07888,335.2,70.7,6.069,5.655,59.28,78.14,1769,9,0,732,2,B8
245,7,H1NE07896,332,70.5,6.045,5.619,59.08,77.85,441,9,0,735,2,B8
246,7,H1NE07897,335.2,70.7,6.082,5.65,59.32,77.98,1544,9,0,738,2,B8
247,7,H1NE07893,332,70.5,6.075,5.614,59.14,77.54,244,9,0,741,2,B8
248,7,H1NE07895,335.4,70.8,6.082,5.65,59.36,77.94,1545,9,0,744,2,B8
249,7,H1NE07891,332,70.4,6.035,5.618,59.1,78.11,391,9,0,747,2,B8
250,7,H1NE07898,335.6,70.7,6.091,5.656,59.35,77.91,1814,9,0,750,2,B8
251,7,H1NE07901,332.2,70.5,6.045,5.621,59.1,77.94,527,9,0,753,2,B8
252,7,H1NE07899,334.8,70.8,6.072,5.65,59.26,77.9,1539,9,0,756,2,B8
253,7,H1NE07890,335.1,70.6,6.083,5.653,59.29,78.03,1669,9,0,759,2,B9
254,7,H1NE07903,330.5,70.7,6.052,5.613,58.87,77.29,202,9,0,762,2,B9
255,7,H1NE07889,335.6,70.7,6.084,5.66,59.29,78.01,1954,9,0,765,2,B9
256,7,H1NE07907,332.7,70.6,6.073,5.622,59.19,77.6,569,9,0,768,2,B9
257,7,H1NE07887,335.4,70.6,6.09,5.659,59.27,77.98,1920,9,0,771,2,B9
258,7,H1NE07906,332.9,70.7,6.031,5.62,59.22,78.11,499,9,0,774,2,B9
259,7,H1NE07885,336.5,70.8,6.09,5.664,59.41,78.05,2054,9,0,777,2,B9
260,7,H1NE07882,336.1,70.8,6.093,5.665,59.33,77.96,2072,9,0,780,2,B9
261,7,H1NE07909,332.9,70.7,6.066,5.624,59.2,77.63,630,9,0,783,2,B9
262,7,H1NE07911,332.7,70.6,6.062,5.626,59.13,77.69,685,9,0,786,2,B9
263,7,H1NE07876,335.2,70.8,6.071,5.652,59.31,78.03,1636,9,0,789,2,B9
264,7,H1NE07912,332.8,70.7,6.061,5.621,59.21,77.67,534,9,0,792,2,B9
265,7,H1NE07913,332.3,70.5,6.077,5.622,59.1,77.51,559,9,0,795,2,B10
266,7,H1NE07860,334.5,70.7,6.069,5.642,59.28,77.92,1139,9,0,798,2,B10
267,7,H1NE07874,333.1,70.6,6.076,5.648,58.98,77.7,1430,9,0,801,2,B10
268,7,H1NE07862,334.5,70.7,6.063,5.649,59.22,77.99,1486,9,0,804,2,B10
269,7,H1NE07859,334.1,70.8,6.068,5.647,59.16,77.8,1393,9,0,807,2,B10
270,7,H1NE07873,333.2,70.5,6.065,5.655,58.91,77.9,1752,9,0,810,2,B10
271,7,H1NE07861,331.5,70.6,6.032,5.603,59.17,77.86,30,9,0,813,2,B10
272,7,H1NE07883,334.8,70.8,6.082,5.661,59.14,77.8,1977,9,0,816,2,B10
273,7,H1NE07845,331.2,70.5,6.072,5.602,59.12,77.31,23,9,0,819,2,B10
274,7,H1NE07884,334.6,70.7,6.074,5.658,59.14,77.89,1873,9,0,822,2,B10
275,7,H1NE07863,332.2,70.6,6.02,5.604,59.27,78.12,41,9,0,825,2,B10
276,7,H1NE07875,334.7,70.7,6.085,5.66,59.14,77.76,1942,9,0,828,2,B10
277,7,H1NE07879,335.3,70.8,6.085,5.661,59.23,77.84,1981,9,0,831,2,B11
278,7,H1NE07881,335.1,70.7,6.074,5.665,59.15,78.02,2067,9,0,834,2,B11
279,7,H1NE07865,331.9,70.5,6.031,5.607,59.19,78.02,72,9,0,837,2,B11
280,7,GZNE29174,336,70.7,6.081,5.663,59.33,78.13,2031,9,0,840,2,B11
281,8,H1NE07953,335.4,70.8,6.067,5.652,59.34,78.06,1638,10,0,843,2,B11
282,8,H1NE07964,332.4,70.7,6.043,5.61,59.25,77.8,140,10,0,846,2,B11
283,8,H1NE07962,335.7,70.9,6.083,5.645,59.47,77.89,1300,10,0,849,2,B11
284,8,H1NE07968,335,70.8,6.066,5.646,59.34,77.99,1346,10,0,852,2,B11
285,8,H1NE07864,335.1,70.7,6.064,5.651,59.3,78.19,1591,10,0,855,2,B11
286,8,H1NE07910,332,70.6,6.056,5.617,59.1,77.66,350,10,0,858,2,B11
287,8,H1NE07914,332.1,70.5,6.08,5.646,58.83,77.46,1317,10,0,861,2,B11
288,8,H1NE07870,331,70.6,6.04,5.605,59.06,77.67,47,10,0,864,2,B11
289,8,H1NE07813,334,70.6,6.078,5.652,59.1,77.88,1616,10,0,867,2,B12
290,8,H1NE07933,332.6,70.7,6.052,5.612,59.27,77.72,186,10,0,870,2,B12
291,8,H1NE07936,334.7,70.7,6.063,5.65,59.23,78.08,1537,10,0,873,2,B12
292,8,H1NE07934,332.5,70.7,6.054,5.614,59.23,77.67,249,10,0,876,2,B12
293,8,H1NE07915,334.7,70.7,6.072,5.652,59.23,77.95,1628,10,0,879,2,B12
294,8,H1NE07800,332,70.7,6.034,5.608,59.21,77.83,89,10,0,882,2,B12
295,8,H1NE07938,334.4,70.6,6.069,5.652,59.16,78.05,1623,10,0,885,2,B12
296,8,H1NE07937,331.8,70.7,6.043,5.615,59.09,77.7,274,10,0,888,2,B12
297,8,H1NE07916,332.3,70.7,6.043,5.612,59.21,77.83,185,10,0,891,2,B12
298,8,H1NE07917,334.2,70.6,6.085,5.652,59.14,77.81,1620,10,0,894,2,B12
299,8,H1NE07908,332.2,70.6,6.051,5.616,59.15,77.75,318,10,0,897,2,B12
300,8,H1NE07918,334.7,70.6,6.068,5.654,59.2,78.1,1716,10,0,900,2,B12
301,8,H1NE07939,333,70.7,6.052,5.615,59.3,77.81,291,10,0,903,2,B13
302,8,H1NE07809,334.3,70.6,6.084,5.646,59.22,77.84,1340,10,0,906,2,B13
303,8,H1NE07940,333.1,70.7,6.032,5.617,59.3,78.1,364,10,0,909,2,B13
304,8,H1NE07920,334.8,70.7,6.078,5.647,59.29,77.9,1402,10,0,912,2,B13
305,8,H1NE07941,332.8,70.6,6.044,5.617,59.25,78,361,10,0,915,2,B13
306,8,H1NE07943,332.9,70.7,6.042,5.609,59.34,77.88,121,10,0,918,2,B13
307,8,H1NE07945,335.4,70.8,6.072,5.649,59.38,78.07,1496,10,0,921,2,B13
308,8,H1NE07944,332.6,70.7,6.069,5.613,59.24,77.54,217,10,0,924,2,B13
309,8,H1NE07946,333.2,70.8,6.069,5.647,59,77.52,1387,10,0,927,2,B13
310,8,H1NE07921,332.1,70.5,6.053,5.617,59.13,77.8,352,10,0,930,2,B13
311,8,H1NE07922,332.2,70.5,6.039,5.617,59.14,77.99,353,10,0,933,2,B13
312,8,H1NE07923,332.5,70.6,6.062,5.617,59.19,77.69,359,10,0,936,2,B13
313,8,H1NE07925,335.3,70.7,6.088,5.653,59.31,77.91,1676,10,0,939,3,C1
314,8,H1NE07924,331.2,70.6,6.059,5.614,58.99,77.38,240,10,0,942,3,C1
315,8,H1NE07886,335.6,70.6,6.081,5.662,59.28,78.17,2004,10,0,945,3,C1
316,8,H1NE07927,332.6,70.6,6.069,5.619,59.19,77.61,445,10,0,948,3,C1
317,8,H1NE07878,332.7,70.5,6.076,5.628,59.12,77.71,727,10,0,951,3,C1
318,8,H1NE07904,334.1,70.7,6.078,5.656,59.07,77.77,1795,10,0,954,3,C1
319,8,H1NE07902,335,70.7,6.085,5.657,59.22,77.86,1836,10,0,957,3,C1
320,8,GZNE29279,332.3,70.6,6.093,5.618,59.15,77.2,392,10,0,960,3,C1
321,9,H1NE07971,332.3,70.7,6.044,5.608,59.25,77.78,92,6,0,963,3,C1
322,9,H1NE07972,334.9,70.7,6.083,5.65,59.28,77.86,1540,6,0,966,3,C1
323,9,H1NE07976,332.5,70.7,6.047,5.611,59.26,77.74,164,6,0,969,3,C1
324,9,H1NE07973,334.8,70.8,6.068,5.646,59.29,77.92,1344,6,0,972,3,C1
325,9,H1NE07979,332.5,70.7,6.065,5.613,59.24,77.53,215,6,0,975,3,C2
326,9,H1NE07980,335.2,70.8,6.066,5.648,59.35,78.06,1443,6,0,978,3,C2
327,9,H1NE07983,332.5,70.7,6.054,5.611,59.26,77.67,165,6,0,981,3,C2
328,9,H1NE07985,335.5,70.8,6.072,5.65,59.39,78.02,1546,6,0,984,3,C2
329,9,H1NE07987,333.5,70.7,6.052,5.619,59.36,77.9,467,6,0,987,3,C2
330,9,H1NE07977,335.7,70.8,6.067,5.652,59.39,78.1,1639,6,0,990,3,C2
331,9,H1NE07990,333,70.7,6.055,5.616,59.3,77.76,329,6,0,993,3,C2
332,9,H1NE07994,335.6,70.8,6.064,5.648,59.43,78.17,1448,6,0,996,3,C2
333,9,H1NE07992,333.6,70.8,6.069,5.617,59.38,77.67,379,6,0,999,3,C2
334,9,H1NE07950,335,70.8,6.065,5.646,59.33,78.01,1347,6,0,1002,3,C2
335,9,H1NE07956,334.8,70.7,6.051,5.648,59.28,78.22,1439,6,0,1005,3,C2
336,9,H1NE07993,331.9,70.7,6.044,5.613,59.13,77.7,208,6,0,1008,3,C2
337,9,H1NE07948,332.1,70.7,6.05,5.609,59.2,77.68,107,6,0,1011,3,C3
338,9,H1NE07947,330.8,70.7,6.052,5.601,59.05,77.27,16,6,0,1014,3,C3
339,9,H1NE07961,334.7,70.8,6.069,5.646,59.27,77.88,1343,6,0,1017,3,C3
340,9,H1NE07952,332.1,70.7,6.059,5.609,59.21,77.56,108,6,0,1020,3,C3
341,9,H1NE07974,335.2,70.8,6.068,5.648,59.36,78,1444,6,0,1023,3,C3
342,9,H1NE07958,332.3,70.7,6.027,5.608,59.26,77.98,93,6,0,1026,3,C3
343,9,H1NE07978,335.9,70.8,6.09,5.655,59.4,77.87,1779,6,0,1029,3,C3
344,9,H1NE07955,331.4,70.7,6.045,5.61,59.07,77.56,131,6,0,1032,3,C3
345,9,H1NE07963,332.4,70.7,6.042,5.606,59.29,77.83,58,6,0,1035,3,C3
346,9,H1NE07966,332.4,70.7,6.044,5.613,59.22,77.84,213,6,0,1038,3,C3
347,9,H1NE07965,335,70.8,6.068,5.647,59.32,78.01,1403,6,0,1041,3,C3
348,9,H1NE07928,332.3,70.6,6.057,5.615,59.18,77.75,280,6,0,1044,3,C3
349,9,H1NE07929,332.1,70.5,6.046,5.614,59.16,77.93,245,6,0,1047,3,C4
350,9,H1NE07981,335.7,70.9,6.071,5.653,59.38,78.05,1684,6,0,1050,3,C4
351,9,H1NE07930,332.8,70.6,6.048,5.618,59.24,77.89,399,6,0,1053,3,C4
352,9,H1NE07932,333.1,70.7,6.054,5.614,59.33,77.79,258,6,0,1056,3,C4
353,9,H1NE07984,335.9,70.9,6.084,5.654,59.42,77.92,1735,6,0,1059,3,C4
354,9,H1NE07949,332.5,70.7,6.05,5.615,59.21,77.75,282,6,0,1062,3,C4
355,9,H1NE07919,335.1,70.8,6.06,5.644,59.38,78.15,1245,6,0,1065,3,C4
356,9,H1NE07954,332.6,70.7,6.062,5.618,59.21,77.63,396,6,0,1068,3,C4
357,9,H1NE07935,335.7,70.8,6.073,5.655,59.37,78.09,1777,6,0,1071,3,C4
358,9,H1NE07957,332.5,70.7,6.047,5.611,59.26,77.79,166,6,0,1074,3,C4
359,9,H1NE07951,335.6,70.8,6.077,5.653,59.36,77.98,1682,6,0,1077,3,C4
360,9,GZNE29312,335,70.7,6.1,5.665,59.13,77.67,2065,6,0,1080,3,C4
361,10,H1NE08040,333.8,70.8,6.089,5.617,59.43,77.48,382,7,0,1083,3,C5
362,10,H1NE08049,336.8,71,6.072,5.65,59.62,78.15,1555,7,0,1086,3,C5
363,10,H1NE08043,333.8,70.8,6.053,5.612,59.47,77.83,200,7,0,1089,3,C5
364,10,H1NE08031,337,71,6.078,5.652,59.62,78.12,1649,7,0,1092,3,C5
365,10,H1NE08048,333.5,70.8,6.063,5.62,59.34,77.71,511,7,0,1095,3,C5
366,10,H1NE07986,335.3,70.8,6.067,5.642,59.44,78.04,1140,7,0,1098,3,C5
367,10,H1NE08046,334.1,70.9,6.042,5.616,59.49,78,343,7,0,1101,3,C5
368,10,H1NE07988,332.8,70.7,6.049,5.614,59.28,77.86,253,7,0,1104,3,C5
369,10,H1NE07982,331.9,70.8,6.05,5.613,59.13,77.52,209,7,0,1107,3,C5
370,10,H1NE07989,335.9,70.9,6.06,5.648,59.47,78.22,1453,7,0,1110,3,C5
371,10,H1NE08012,333.6,70.8,6.051,5.612,59.43,77.84,197,7,0,1113,3,C5
372,10,H1NE07991,335.5,70.8,6.078,5.65,59.38,77.96,1547,7,0,1116,3,C5
373,10,H1NE08017,333.1,70.8,6.065,5.616,59.32,77.63,332,7,0,1119,3,C6
374,10,H1NE08014,336.5,70.9,6.072,5.652,59.53,78.14,1645,7,0,1122,3,C6
375,10,H1NE08003,333,70.8,6.053,5.616,59.29,77.73,330,7,0,1125,3,C6
376,10,H1NE08016,336.7,70.9,6.083,5.655,59.53,78.06,1783,7,0,1128,3,C6
377,10,H1NE08005,336.8,71,6.078,5.653,59.59,78.11,1693,7,0,1131,3,C6
378,10,H1NE08021,336.9,70.9,6.085,5.658,59.55,78.11,1896,7,0,1134,3,C6
379,10,H1NE07998,332.7,70.7,6.048,5.616,59.25,77.8,323,7,0,1137,3,C6
380,10,H1NE08025,336.7,70.9,6.075,5.653,59.55,78.16,1692,7,0,1140,3,C6
381,10,H1NE08019,333.5,70.7,6.075,5.618,59.35,77.61,412,7,0,1143,3,C6
382,10,H1NE08027,336.8,70.9,6.072,5.654,59.58,78.19,1743,7,0,1146,3,C6
383,10,H1NE07997,333.3,70.7,6.048,5.615,59.36,77.94,298,7,0,1149,3,C6
384,10,H1NE07995,336.1,70.8,6.075,5.656,59.42,78.12,1821,7,0,1152,3,C6
385,10,H1NE07999,332.9,70.7,6.052,5.618,59.26,77.83,400,7,0,1155,3,C7
386,10,H1NE08000,333,70.7,6.044,5.615,59.3,77.92,292,7,0,1158,3,C7
387,10,H1NE07996,336.2,70.9,6.057,5.643,59.58,78.31,1189,7,0,1161,3,C7
388,10,H1NE08004,335.5,70.8,6.072,5.645,59.43,78.04,1299,7,0,1164,3,C7
389,10,H1NE08002,332.9,70.7,6.055,5.613,59.31,77.75,222,7,0,1167,3,C7
390,10,H1NE08006,333.1,70.7,6.059,5.613,59.34,77.72,224,7,0,1170,3,C7
391,10,H1NE08008,336.1,70.9,6.075,5.654,59.44,78.05,1737,7,0,1173,3,C7
392,10,H1NE08001,335.9,70.9,6.074,5.649,59.46,78.03,1497,7,0,1176,3,C7
393,10,H1NE08010,333.4,70.8,6.043,5.614,59.37,77.95,264,7,0,1179,3,C7
394,10,H1NE08009,333.1,70.8,6.062,5.651,58.95,77.57,1569,7,0,1182,3,C7
395,10,H1NE08015,333.3,70.8,6.051,5.615,59.35,77.83,299,7,0,1185,3,C7
396,10,H1NE08011,333.4,70.8,6.052,5.612,59.4,77.83,194,7,0,1188,3,C7
397,10,H1NE08007,335.8,70.9,6.063,5.648,59.45,78.13,1451,7,0,1191,3,C8
398,10,H1NE08013,333.2,70.7,6.042,5.615,59.33,77.95,296,7,0,1194,3,C8
399,10,H1NE07969,332.6,70.8,6.042,5.608,59.3,77.78,94,7,0,1197,3,C8
400,10,GZNE29348,336,70.9,6.088,5.656,59.41,77.82,1820,7,0,1200,3,C8
401,11,H1NE08039,333.4,70.8,6.068,5.61,59.42,77.64,147,11,0,1203,3,C8
402,11,H1NE08037,333.9,70.8,6.061,5.618,59.43,77.82,428,11,0,1206,3,C8
403,11,H1NE08041,336.6,70.9,6.074,5.651,59.56,78.21,1605,11,0,1209,3,C8
404,11,H1NE08034,333.7,70.8,6.063,5.619,59.39,77.79,475,11,0,1212,3,C8
405,11,H1NE08036,337,70.9,6.068,5.655,59.6,78.34,1785,11,0,1215,3,C8
406,11,H1NE08032,336.1,70.9,6.068,5.644,59.55,78.16,1250,11,0,1218,3,C8
407,11,H1NE07905,332,70.6,6.043,5.617,59.1,77.83,351,11,0,1221,3,C8
408,11,H1NE07931,332.5,70.6,6.051,5.614,59.22,77.77,250,11,0,1224,3,C8
409,11,H1NE08062,333.1,70.7,6.054,5.621,59.26,77.83,542,11,0,1227,3,C9
410,11,H1NE08057,333.8,70.8,6.028,5.615,59.44,78.17,309,11,0,1230,3,C9
411,11,H1NE08035,333.8,70.8,6.056,5.616,59.43,77.87,341,11,0,1233,3,C9
412,11,H1NE08060,333.9,70.8,6.075,5.653,59.07,77.6,1660,11,0,1236,3,C9
413,11,H1NE08030,331.4,70.8,6.05,5.613,59.04,77.39,203,11,0,1239,3,C9
414,11,H1NE08054,336.3,70.9,6.076,5.654,59.48,78.12,1741,11,0,1242,3,C9
415,11,H1NE07926,332.7,70.6,6.034,5.618,59.21,78.07,397,11,0,1245,3,C9
416,11,H1NE08033,336.3,70.9,6.068,5.651,59.52,78.2,1602,11,0,1248,3,C9
417,11,H1NE07975,332.8,70.7,6.061,5.615,59.27,77.65,288,11,0,1251,3,C9
418,11,H1NE08023,336.5,70.9,6.078,5.654,59.51,78.13,1742,11,0,1254,3,C9
419,11,H1NE08026,333.7,70.8,6.053,5.617,59.41,77.87,381,11,0,1257,3,C9
420,11,H1NE08028,336,70.9,6.068,5.646,59.52,78.14,1353,11,0,1260,3,C9
421,11,H1NE08024,333.5,70.8,6.062,5.615,59.4,77.7,303,11,0,1263,3,C10
422,11,H1NE08018,335.6,70.8,6.071,5.653,59.36,78.05,1683,11,0,1266,3,C10
423,11,H1NE08022,333.5,70.8,6.047,5.614,59.41,77.92,265,11,0,1269,3,C10
424,11,H1NE08020,336.3,70.9,6.079,5.651,59.51,78.07,1603,11,0,1272,3,C10
425,11,H1NE08067,336.6,70.9,6.067,5.655,59.52,78.29,1781,11,0,1275,3,C10
426,11,H1NE08064,333.7,70.8,6.066,5.619,59.39,77.73,476,11,0,1278,3,C10
427,11,H1NE08063,333.8,70.8,6.064,5.644,59.14,77.71,1239,11,0,1281,3,C10
428,11,H1NE08059,336.2,70.9,6.065,5.65,59.51,78.24,1553,11,0,1284,3,C10
429,11,H1NE08065,331.6,70.8,6.042,5.607,59.13,77.53,71,11,0,1287,3,C10
430,11,H1NE08061,333.3,70.7,6.058,5.619,59.32,77.79,462,11,0,1290,3,C10
431,11,H1NE08056,335.9,70.9,6.069,5.652,59.43,78.09,1642,11,0,1293,3,C10
432,11,H1NE08058,333.2,70.8,6.046,5.614,59.36,77.9,261,11,0,1296,3,C10
433,11,H1NE08038,335.8,70.8,6.067,5.643,59.5,78.15,1187,11,0,1299,3,C11
434,11,H1NE08053,336.4,70.9,6.069,5.651,59.54,78.21,1604,11,0,1302,3,C11
435,11,H1NE08055,333.7,70.8,6.056,5.613,59.46,77.81,232,11,0,1305,3,C11
436,11,H1NE08052,334,70.8,6.064,5.645,59.16,77.74,1291,11,0,1308,3,C11
437,11,H1NE08051,332.6,70.7,6.06,5.61,59.29,77.6,141,11,0,1311,3,C11
438,11,H1NE08047,335.8,70.9,6.062,5.645,59.49,78.12,1301,11,0,1314,3,C11
439,11,H1NE08050,333.1,70.8,6.045,5.608,59.4,77.87,100,11,0,1317,3,C11
440,11,GZNE29296,335.7,70.7,6.102,5.664,59.27,77.79,2049,11,0,1320,3,C11
441,12,H1NE07869,331.9,70.6,6.041,5.614,59.11,77.81,243,12,0,1323,3,C11
442,12,H1NE07871,331.7,70.5,6.059,5.615,59.06,77.61,273,12,0,1326,3,C11
443,12,H1NE07847,331.6,70.6,6.047,5.611,59.08,77.69,154,12,0,1329,3,C11
444,12,H1NE07848,331.2,70.6,6.038,5.595,59.19,77.68,3,12,0,1332,3,C11
445,12,H1NE07857,331.7,70.7,6.028,5.603,59.2,77.86,32,12,0,1335,3,C12
446,12,H1NE07856,331.8,70.5,6.026,5.61,59.14,78.16,135,12,0,1338,3,C12
447,12,H1NE07868,332.4,70.6,6.047,5.614,59.2,77.87,246,12,0,1341,3,C12
448,12,H1NE07872,331.4,70.6,6.049,5.606,59.12,77.61,56,12,0,1344,3,C12
449,12,H1NE07838,335.1,70.8,6.075,5.653,59.28,77.86,1670,12,0,1347,3,C12
450,12,H1NE07839,333.8,70.7,6.064,5.65,59.09,77.84,1530,12,0,1350,3,C12
451,12,H1NE07837,332.8,70.8,6.067,5.636,59.05,77.5,928,12,0,1353,3,C12
452,12,H1NE07842,333.8,70.8,6.077,5.641,59.17,77.56,1107,12,0,1356,3,C12
453,12,H1NE07835,334.3,70.8,6.063,5.649,59.17,77.87,1483,12,0,1359,3,C12
454,12,H1NE07844,333.5,70.6,6.056,5.654,58.99,77.99,1707,12,0,1362,3,C12
455,12,H1NE07851,333.5,70.6,6.076,5.653,59,77.74,1657,12,0,1365,3,C12
456,12,H1NE07852,332.8,70.7,6.08,5.651,58.9,77.46,1566,12,0,1368,3,C12
457,12,H1NE07867,331.3,70.5,6.057,5.611,59.05,77.55,151,12,0,1371,3,C13
458,12,H1NE07850,333.7,70.6,6.073,5.649,59.07,77.84,1479,12,0,1374,3,C13
459,12,H1NE07841,332.3,70.7,6.062,5.638,58.94,77.56,983,12,0,1377,3,C13
460,12,H1NE07843,333.9,70.8,6.066,5.646,59.15,77.8,1337,12,0,1380,3,C13
461,12,H1NE07846,334.4,70.7,6.085,5.657,59.11,77.7,1830,12,0,1383,3,C13
462,12,H1NE07853,334.3,70.7,6.068,5.651,59.16,77.92,1579,12,0,1386,3,C13
463,12,H1NE07855,333.8,70.8,6.067,5.643,59.15,77.67,1178,12,0,1389,3,C13
464,12,H1NE07858,333.3,70.7,6.062,5.64,59.09,77.71,1069,12,0,1392,3,C13
465,12,H1NE07827,332.2,70.6,6.027,5.609,59.22,78.02,109,12,0,1395,3,C13
466,12,H1NE07823,330.3,70.6,6.036,5.599,59,77.48,7,12,0,1398,3,C13
467,12,H1NE07828,331.7,70.7,6.041,5.605,59.17,77.67,48,12,0,1401,3,C13
468,12,H1NE07830,331.7,70.7,6.04,5.599,59.24,77.68,10,12,0,1404,3,C13
469,12,H1NE07832,331.5,70.6,6.019,5.603,59.17,77.97,31,12,0,1407,4,D1
470,12,H1NE07836,332.4,70.7,6.04,5.613,59.22,77.86,214,12,0,1410,4,D1
471,12,H1NE07833,332.3,70.7,6.052,5.61,59.23,77.66,138,12,0,1413,4,D1
472,12,H1NE07840,332.1,70.6,6.043,5.612,59.17,77.81,181,12,0,1416,4,D1
473,12,H1NE07849,332,70.6,6.032,5.603,59.25,77.9,34,12,0,1419,4,D1
474,12,H1NE07854,331.7,70.5,6.033,5.61,59.13,77.95,134,12,0,1422,4,D1
